date,home_team,score,away_team
05-04-2025,FC Barcelona,1 - 1,Betis
30-03-2025,Betis,2 - 1,Sevilla
16-03-2025,Leganes,2 - 3,Betis
09-03-2025,Betis,1 - 0,Las Palmas
01-03-2025,Betis,2 - 1,Real Madrid
23-02-2025,Getafe,1 - 2,Betis
16-02-2025,Betis,3 - 0,Sociedad
08-02-2025,Celta,3 - 2,Betis
02-02-2025,Betis,2 - 2,Ath Bilbao
25-01-2025,Mallorca,0 - 1,Betis
18-01-2025,Betis,1 - 3,Alaves
11-01-2025,Valladolid,1 - 0,Betis
22-12-2024,Betis,1 - 1,Vallecano
15-12-2024,Villarreal,1 - 2,Betis
07-12-2024,Betis,2 - 2,FC Barcelona
01-12-2024,Sociedad,2 - 0,Betis
23-11-2024,Valencia,4 - 2,Betis
10-11-2024,Betis,2 - 2,Celta
03-11-2024,Ath Bilbao,1 - 1,Betis
27-10-2024,Betis,1 - 0,Ath Madrid
19-10-2024,Osasuna,1 - 2,Betis
06-10-2024,Sevilla,1 - 0,Betis
29-09-2024,Betis,1 - 0,Espanol
26-09-2024,Las Palmas,1 - 1,Betis
23-09-2024,Betis,1 - 2,Mallorca
18-09-2024,Betis,2 - 1,Getafe
13-09-2024,Betis,2 - 0,Leganes
01-09-2024,Real Madrid,2 - 0,Betis
25-08-2024,Alaves,0 - 0,Betis
15-08-2024,Betis,1 - 1,Girona
24-05-2025,Getafe,1 - 2,Celta
18-05-2025,Celta,1 - 2,Vallecano
13-05-2025,Sociedad,0 - 1,Celta
10-05-2025,Celta,3 - 2,Sevilla
04-05-2025,Real Madrid,3 - 2,Celta
23-04-2025,Celta,3 - 0,Villarreal
19-04-2025,FC Barcelona,4 - 3,Celta
12-04-2025,Celta,0 - 2,Espanol
05-04-2025,Mallorca,1 - 2,Celta
31-03-2025,Celta,1 - 1,Las Palmas
15-03-2025,Valladolid,0 - 1,Celta
08-03-2025,Celta,2 - 1,Leganes
01-03-2025,Girona,2 - 2,Celta
21-02-2025,Celta,1 - 0,Osasuna
15-02-2025,Ath Madrid,1 - 1,Celta
08-02-2025,Celta,3 - 2,Betis
02-02-2025,Valencia,2 - 1,Celta
27-01-2025,Alaves,1 - 1,Celta
19-01-2025,Celta,1 - 2,Ath Bilbao
10-01-2025,Vallecano,2 - 1,Celta
21-12-2024,Celta,2 - 0,Sociedad
14-12-2024,Sevilla,1 - 0,Celta
06-12-2024,Celta,2 - 0,Mallorca
30-11-2024,Espanol,3 - 1,Celta
23-11-2024,Celta,2 - 2,FC Barcelona
10-11-2024,Betis,2 - 2,Celta
04-11-2024,Celta,1 - 0,Getafe
27-10-2024,Leganes,3 - 0,Celta
19-10-2024,Celta,1 - 2,Real Madrid
05-10-2024,Las Palmas,0 - 1,Celta
29-09-2024,Celta,1 - 1,Girona
26-09-2024,Celta,0 - 1,Ath Madrid
22-09-2024,Ath Bilbao,3 - 1,Celta
15-09-2024,Celta,3 - 1,Valladolid
01-09-2024,Osasuna,3 - 2,Celta
26-08-2024,Villarreal,4 - 3,Celta
23-08-2024,Celta,3 - 1,Valencia
16-08-2024,Celta,2 - 1,Alaves
24-05-2025,Espanol,2 - 0,Las Palmas
18-05-2025,Osasuna,2 - 0,Espanol
15-05-2025,Espanol,0 - 2,FC Barcelona
11-05-2025,Leganes,3 - 2,Espanol
04-05-2025,Espanol,1 - 2,Betis
27-04-2025,Villarreal,1 - 0,Espanol
22-04-2025,Valencia,1 - 1,Espanol
18-04-2025,Espanol,1 - 0,Getafe
12-04-2025,Celta,0 - 2,Espanol
04-04-2025,Vallecano,0 - 4,Espanol
29-03-2025,Espanol,1 - 1,Ath Madrid
15-03-2025,Mallorca,2 - 1,Espanol
10-03-2025,Espanol,1 - 1,Girona
22-02-2025,Alaves,0 - 1,Espanol
16-02-2025,Espanol,1 - 1,Ath Bilbao
09-02-2025,Sociedad,2 - 1,Espanol
01-02-2025,Espanol,1 - 0,Real Madrid
25-01-2025,Sevilla,1 - 1,Espanol
17-01-2025,Espanol,2 - 1,Valladolid
11-01-2025,Espanol,1 - 1,Leganes
22-12-2024,Las Palmas,1 - 0,Espanol
18-12-2024,Espanol,1 - 1,Valencia
14-12-2024,Espanol,0 - 0,Osasuna
09-12-2024,Getafe,1 - 0,Espanol
30-11-2024,Espanol,3 - 1,Celta
23-11-2024,Girona,4 - 1,Espanol
03-11-2024,FC Barcelona,3 - 1,Espanol
25-10-2024,Espanol,0 - 2,Sevilla
19-10-2024,Ath Bilbao,4 - 1,Espanol
05-10-2024,Espanol,2 - 1,Mallorca
29-09-2024,Betis,1 - 0,Espanol
26-09-2024,Espanol,1 - 2,Villarreal
21-09-2024,Real Madrid,4 - 1,Espanol
14-09-2024,Espanol,3 - 2,Alaves
31-08-2024,Espanol,2 - 1,Vallecano
28-08-2024,Ath Madrid,0 - 0,Espanol
24-08-2024,Espanol,0 - 1,Sociedad
19-08-2024,Valladolid,1 - 0,Espanol
25-05-2025,Ath Bilbao,0 - 3,FC Barcelona
18-05-2025,FC Barcelona,2 - 3,Villarreal
15-05-2025,Espanol,0 - 2,FC Barcelona
11-05-2025,FC Barcelona,4 - 3,Real Madrid
03-05-2025,Valladolid,1 - 2,FC Barcelona
22-04-2025,FC Barcelona,1 - 0,Mallorca
19-04-2025,FC Barcelona,4 - 3,Celta
12-04-2025,Leganes,0 - 1,FC Barcelona
05-04-2025,FC Barcelona,1 - 1,Betis
30-03-2025,FC Barcelona,4 - 1,Girona
27-03-2025,FC Barcelona,3 - 0,Osasuna
16-03-2025,Ath Madrid,2 - 4,FC Barcelona
02-03-2025,FC Barcelona,4 - 0,Sociedad
22-02-2025,Las Palmas,0 - 2,FC Barcelona
17-02-2025,FC Barcelona,1 - 0,Vallecano
09-02-2025,Sevilla,1 - 4,FC Barcelona
02-02-2025,FC Barcelona,1 - 0,Alaves
26-01-2025,FC Barcelona,7 - 1,Valencia
18-01-2025,Getafe,1 - 1,FC Barcelona
21-12-2024,FC Barcelona,1 - 2,Ath Madrid
15-12-2024,FC Barcelona,0 - 1,Leganes
07-12-2024,Betis,2 - 2,FC Barcelona
03-12-2024,Mallorca,1 - 5,FC Barcelona
30-11-2024,FC Barcelona,1 - 2,Las Palmas
23-11-2024,Celta,2 - 2,FC Barcelona
10-11-2024,Sociedad,1 - 0,FC Barcelona
03-11-2024,FC Barcelona,3 - 1,Espanol
26-10-2024,Real Madrid,0 - 4,FC Barcelona
20-10-2024,FC Barcelona,5 - 1,Sevilla
06-10-2024,Alaves,0 - 3,FC Barcelona
28-09-2024,Osasuna,4 - 2,FC Barcelona
25-09-2024,FC Barcelona,1 - 0,Getafe
22-09-2024,Villarreal,1 - 5,FC Barcelona
15-09-2024,Girona,1 - 4,FC Barcelona
31-08-2024,FC Barcelona,7 - 0,Valladolid
27-08-2024,Vallecano,1 - 2,FC Barcelona
24-08-2024,FC Barcelona,2 - 1,Ath Bilbao
17-08-2024,Valencia,1 - 2,FC Barcelona
24-05-2025,Getafe,1 - 2,Celta
18-05-2025,Mallorca,1 - 2,Getafe
15-05-2025,Getafe,0 - 2,Ath Bilbao
10-05-2025,Valencia,3 - 0,Getafe
02-05-2025,Vallecano,1 - 0,Getafe
23-04-2025,Getafe,0 - 1,Real Madrid
18-04-2025,Espanol,1 - 0,Getafe
12-04-2025,Getafe,1 - 3,Las Palmas
06-04-2025,Valladolid,0 - 4,Getafe
30-03-2025,Getafe,1 - 2,Villarreal
16-03-2025,Osasuna,1 - 2,Getafe
09-03-2025,Getafe,2 - 1,Ath Madrid
02-03-2025,Leganes,1 - 0,Getafe
23-02-2025,Getafe,1 - 2,Betis
14-02-2025,Girona,1 - 2,Getafe
09-02-2025,Alaves,0 - 1,Getafe
01-02-2025,Getafe,0 - 0,Sevilla
26-01-2025,Sociedad,0 - 3,Getafe
18-01-2025,Getafe,1 - 1,FC Barcelona
12-01-2025,Las Palmas,1 - 2,Getafe
21-12-2024,Getafe,0 - 1,Mallorca
15-12-2024,Ath Madrid,1 - 0,Getafe
09-12-2024,Getafe,1 - 0,Espanol
01-12-2024,Real Madrid,2 - 0,Getafe
22-11-2024,Getafe,2 - 0,Valladolid
10-11-2024,Getafe,0 - 1,Girona
04-11-2024,Celta,1 - 0,Getafe
27-10-2024,Getafe,1 - 1,Valencia
20-10-2024,Villarreal,1 - 1,Getafe
05-10-2024,Getafe,1 - 1,Osasuna
28-09-2024,Getafe,2 - 0,Alaves
25-09-2024,FC Barcelona,1 - 0,Getafe
22-09-2024,Getafe,1 - 1,Leganes
18-09-2024,Betis,2 - 1,Getafe
14-09-2024,Sevilla,1 - 0,Getafe
01-09-2024,Getafe,0 - 0,Sociedad
24-08-2024,Getafe,0 - 0,Vallecano
15-08-2024,Ath Bilbao,1 - 1,Getafe
25-05-2025,Girona,0 - 4,Ath Madrid
